duplicate_group,kept_original_path,removed_original_path,removed_original_name,removed_new_name,removed_existed,removed_deleted,error
DUP-001,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/B15-225-9H-25PCS-20250715.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/独立站-DONE/2025/B15-225-9H-25PCS-20250715.pdf,B15-225-9H-25PCS-20250715.pdf,B15-225_9H-彩盒-20250715-V1.pdf,Y,Y,
DUP-002,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/B25-6寸15孔黄砂彩盒及标签.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/独立站-DONE/2024/B25-6寸15孔黄砂彩盒及标签.pdf,B25-6寸15孔黄砂彩盒及标签.pdf,B25-待补充-标签-20250304-V1.pdf,Y,Y,
DUP-003,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/B65-125-8H-50PCS-20250715.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/独立站-DONE/2025/B65-125-8H-50PCS-20250715.pdf,B65-125-8H-50PCS-20250715.pdf,B65-125_8H-彩盒-20250715-V1.pdf,Y,Y,
DUP-004,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/B65-225-激光多孔-25PCS-20250715.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/独立站-DONE/2025/B65-225-激光多孔-25PCS-20250715.pdf,B65-225-激光多孔-25PCS-20250715.pdf,B65-25PCS-彩盒-20250715-V1.pdf,Y,Y,
DUP-005,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BDL9-150mm-MH-20PCS-黑白标签.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/BDL9-6-海绵多孔-20PCS-FPD10027.pdf,BDL9-6-海绵多孔-20PCS-FPD10027.pdf,BDL9-20PCS-彩盒-20250617-V1.pdf,Y,Y,
DUP-006,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BF77PRO-6-15H-50PCS-黑白标签.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/BF77PRO-6-15H-50PCS-FPD10026.pdf,BF77PRO-6-15H-50PCS-FPD10026.pdf,BF77PRO-15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-007,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BF78 PRO-6-15H-50PCS-黑白标签.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BF78PRO-6-15H-50PCS-FPD10025.pdf,BF78PRO-6-15H-50PCS-FPD10025.pdf,BF78PRO-15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-007,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BF78 PRO-6-15H-50PCS-黑白标签.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/BF78PRO-6-15H-50PCS-FPD10025.pdf,BF78PRO-6-15H-50PCS-FPD10025.pdf,BF78PRO-15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-008,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BT77-150-激光多孔-50pcs-20250715.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/独立站-DONE/2025/BT77-150-激光多孔-50pcs-20250715.pdf,BT77-150-激光多孔-50pcs-20250715.pdf,BT77-50PCS-彩盒-20250715-V1.pdf,Y,Y,
DUP-009,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BT77-150MM-15H-50PCS-黑白标签.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/BT77-150MM-15H-50PCS-250704.pdf,BT77-150MM-15H-50PCS-250704.pdf,BT77-150_15H-彩盒-20250704-V1.pdf,Y,Y,
DUP-010,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BT77-150mm-15H-50pcs-黑白标签-高度不够.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/独立站-DONE/2024/6寸紫砂薄膜-50pcs-单粒度装－FASTPLUS独立站包装盒.pdf,6寸紫砂薄膜-50pcs-单粒度装－FASTPLUS独立站包装盒.pdf,待补充-50PCS-彩盒-20231101-V1.pdf,Y,Y,
DUP-011,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BT77-70X12-VROLL-FPD10032.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/BT77-V字卷-黑白标签.pdf,BT77-V字卷-黑白标签.pdf,BT77-待补充-标签-20250620-V1.pdf,Y,Y,
DUP-011,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BT77-70X12-VROLL-FPD10032.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装-彩盒/BT77-V字卷-黑白标签.pdf,BT77-V字卷-黑白标签.pdf,BT77-待补充-标签-20250620-V1.pdf,Y,Y,
DUP-011,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BT77-70X12-VROLL-FPD10032.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/BT77-70X12-VROLL-FPD10032.pdf,BT77-70X12-VROLL-FPD10032.pdf,BT77-70X12-彩盒-20250620-V1.pdf,Y,Y,
DUP-012,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BT77-70X198-70X420-25PCS-20250715.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-8涂附-长条/BT77-70X198-70X420-25PCS-20250715.pdf,BT77-70X198-70X420-25PCS-20250715.pdf,BT77-70X198-70X420_70X198-彩盒-20250715-V1.pdf,Y,Y,
DUP-012,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/BT77-70X198-70X420-25PCS-20250715.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/独立站-DONE/2025/BT77-70X198-70X420-25PCS-20250715.pdf,BT77-70X198-70X420-25PCS-20250715.pdf,BT77-70X198-70X420_70X198-彩盒-20250715-V1.pdf,Y,Y,
DUP-013,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-1涂附-拉绒片-彩盒/横版-BD9点修+麻将块-spotcut包装 155x83x20mm.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-6涂附-缓冲垫 手擦板等/横版-BD9点修+麻将块-spotcut包装 155x83x20mm.pdf,横版-BD9点修+麻将块-spotcut包装 155x83x20mm.pdf,BD9-155X83_20-彩盒-20251217-V1.pdf,Y,Y,
DUP-014,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/A15-115-10pcs-NH-4518.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/A15-115-NH-4518.pdf,A15-115-NH-4518.pdf,A15-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-015,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/A15-125-0H-NH-4522.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/A15-125-NH-4522.pdf,A15-125-NH-4522.pdf,A15-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-016,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/B-TRI3-150-NH-4517.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/B-TRI3-150-NH-4517.pdf,B-TRI3-150-NH-4517.pdf,TRI3-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-017,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/B25-125-NH-4507.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/B25-125-NH-4507.pdf,B25-125-NH-4507.pdf,B25-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-018,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/B25-150-15H-4501.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/B25-150-15H-4501.pdf,B25-150-15H-4501.pdf,B25-150_15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-019,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/B550-125-NH-4511.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/B550-125-NH-4511.pdf,B550-125-NH-4511.pdf,B550-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-020,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/B550-150-15H-4512.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/B550-150-15H-4512.pdf,B550-150-15H-4512.pdf,B550-150_15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-021,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/B65-125-NH-4510.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/B65-125-NH-4510.pdf,B65-125-NH-4510.pdf,B65-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-022,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/B65-150-15H-4504.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/B65-150-15H-4504.pdf,B65-150-15H-4504.pdf,B65-150_15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-023,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BCG10-125-NET-4508.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BCG10-125-NET-4508.pdf,BCG10-125-NET-4508.pdf,BCG10-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-024,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BCG10-150-NET-4503.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BCG10-150-NET-4503.pdf,BCG10-150-NET-4503.pdf,BCG10-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-025,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BCG8-125-NET-4509.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BCG8-125-NET-4509.pdf,BCG8-125-NET-4509.pdf,BCG8-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-026,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BCG8-150-NET-4505.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BCG8-150-NET-4505.pdf,BCG8-150-NET-4505.pdf,BCG8-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-027,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BDL9-125-8H-4515.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BDL9-125-8H-4515.pdf,BDL9-125-8H-4515.pdf,BDL9-125_8H-彩盒-20250617-V1.pdf,Y,Y,
DUP-028,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BDL9-125-NH-4514.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BDL9-125-NH-4514.pdf,BDL9-125-NH-4514.pdf,BDL9-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-029,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BDL9-150-15H-4513.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BDL9-150-15H-4513.pdf,BDL9-150-15H-4513.pdf,BDL9-150_15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-030,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BDL9-150-MH-4502.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BDL9-150-MH-4502.pdf,BDL9-150-MH-4502.pdf,BDL9-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-031,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BDL9-150-海绵多孔-4516.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BDL9-150-海绵多孔-4516.pdf,BDL9-150-海绵多孔-4516.pdf,BDL9-待补充-彩盒-20250617-V1.pdf,Y,Y,
DUP-032,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BF77 PRO-150-15H-4521.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BF77-150-15H-4521.pdf,BF77-150-15H-4521.pdf,BF77-150_15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-033,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BF78 PRO-150-15H-4520.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BF78PRO-150-15H-4520.pdf,BF78PRO-150-15H-4520.pdf,BF78PRO-150_15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-034,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-2涂附-10pcs挂卡彩盒/BT77-150-15H-4506.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/挂卡彩盒/BT77-150-15H-4506.pdf,BT77-150-15H-4506.pdf,BT77-150_15H-彩盒-20250617-V1.pdf,Y,Y,
DUP-035,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-4涂附-海绵类-彩盒/B-TRI3-3''-15PCS-电商标签.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/独立站-DONE/2024/75mm金字塔彩盒设计稿 图号-FPD10014.pdf,75mm金字塔彩盒设计稿 图号-FPD10014.pdf,金字塔-75-彩盒-20230811-V1.pdf,Y,Y,
DUP-036,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-4涂附-海绵类-彩盒/BSR25-115X25M-彩盒-黑白标签.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/DONE/BSR25-115X25M-彩盒-20250613.pdf,BSR25-115X25M-彩盒-20250613.pdf,BSR25-115X25_115X25M-彩盒-20250613-V1.pdf,Y,Y,
DUP-037,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/1“x20 '砂布卷组套-刀模图.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装-彩盒/1“x20 '砂布卷组套-刀模图.pdf,1“x20 '砂布卷组套-刀模图.pdf,X20-待补充-刀模图-20260203-V1.pdf,Y,Y,
DUP-038,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装/1“x20'砂布卷组套-Multiroll-pack-box-260210.pdf,/Users/zhanghan/Desktop/涂覆包装-设计稿/1-5涂附-卷装-彩盒/1“x20'砂布卷组套-Multiroll-pack-box-260210.pdf,1“x20'砂布卷组套-Multiroll-pack-box-260210.pdf,X20-待补充-彩盒-20260210-V1.pdf,Y,Y,
